Nama_Bahan,Satuan,Harga_Rata_Rata,Bulan,Tahun
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11935,Oktober,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26375,Oktober,2018
Minyak Goreng Curah / kg (liter),kg,10707,Oktober,2018
Daging Sapi Murni / kg,kg,107607,Oktober,2018
Daging Ayam Broiler,kg,32142,Oktober,2021
Daging Ayam Broiler,kg,32308,November,2021
Telur Ayam Ras (Petelur) / kg,kg,19495,Oktober,2018
Daging Ayam Broiler,kg,33335,Desember,2021
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9919,Oktober,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9702,Oktober,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38321,Oktober,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36372,Oktober,2018
Jagung Pipilan Kering / kg,kg,6023,Oktober,2018
Garam Beryodium Bata / buah,Buah,1123,Oktober,2018
Daging Ayam Broiler,kg,35983,Januari,2022
Tepung Terigu / kg,kg,7907,Oktober,2018
Kacang Kedelai Eks Impor / kg,kg,8459,Oktober,2018
Kacang Kedelai Lokal,kg,8743,Oktober,2018
Indomie Rasa Kari Ayam / bungkus,Bungkus,2314,Oktober,2018
Cabe Merah Besar Keriting / kg,kg,25388,Oktober,2018
Cabe Merah Besar,kg,24002,Oktober,2018
Cabe Rawit / kg,kg,21219,Oktober,2018
Bawang Merah,kg,15610,Oktober,2018
Bawang Putih,kg,19271,Oktober,2018
Ikan Asin Teri / kg,kg,64585,Oktober,2018
Kacang Hijau / kg,kg,17629,Oktober,2018
Kacang Tanah / kg,kg,22060,Oktober,2018
Ketela Pohon / kg,kg,3765,Oktober,2018
Kol/kubis (/kg),kg,7409,Oktober,2018
Kentang / kg,kg,12190,Oktober,2018
Tomat / kg,kg,5120,Oktober,2018
Wortel / kg,kg,9615,Oktober,2018
Buncis,kg,9616,Oktober,2018
Daging Ayam Broiler,kg,32459,Februari,2022
Ikan Kembung / kg,kg,28279,Oktober,2018
ikan Tuna / kg,kg,34756,Oktober,2018
Ikan Tongkol / kg,kg,27573,Oktober,2018
Ikan Cakalang / kg,kg,28598,Oktober,2018
Beras Bengawan,kg,11301,November,2018
Beras Mentik,kg,10958,November,2018
Beras IR 64,kg,9598,November,2018
Gula Pasir Dalam Negri / kg,kg,10405,November,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11705,November,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26301,November,2018
Minyak Goreng Curah / kg (liter),kg,10635,November,2018
Daging Sapi Murni / kg,kg,107443,November,2018
Daging Ayam Broiler,kg,33445,Maret,2022
Daging Ayam Broiler,kg,36602,April,2022
Telur Ayam Ras (Petelur) / kg,kg,20616,November,2018
Daging Ayam Broiler,kg,35771,Mei,2022
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9929,November,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9714,November,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38330,November,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36361,November,2018
Jagung Pipilan Kering / kg,kg,6144,November,2018
Garam Beryodium Bata / buah,Buah,1098,November,2018
Daging Ayam Broiler,kg,30326,Oktober,2022
Tepung Terigu / kg,kg,7918,November,2018
Kacang Kedelai Eks Impor / kg,kg,8451,November,2018
Kacang Kedelai Lokal,kg,8783,November,2018
Indomie Rasa Kari Ayam / bungkus,Bungkus,2306,November,2018
Cabe Merah Besar Keriting / kg,kg,23889,November,2018
Cabe Merah Besar,kg,21078,November,2018
Cabe Rawit / kg,kg,20699,November,2018
Bawang Merah,kg,19075,November,2018
Bawang Putih,kg,19037,November,2018
Ikan Asin Teri / kg,kg,64458,November,2018
Kacang Hijau / kg,kg,17603,November,2018
Kacang Tanah / kg,kg,22063,November,2018
Ketela Pohon / kg,kg,3809,November,2018
Kol/kubis (/kg),kg,8087,November,2018
Kentang / kg,kg,11985,November,2018
Tomat / kg,kg,4571,November,2018
Wortel / kg,kg,11441,November,2018
Buncis,kg,11596,November,2018
Daging Ayam Broiler,kg,31273,November,2022
Ikan Kembung / kg,kg,28558,November,2018
ikan Tuna / kg,kg,34447,November,2018
Ikan Tongkol / kg,kg,27246,November,2018
Ikan Cakalang / kg,kg,28850,November,2018
Beras Bengawan,kg,11391,Desember,2018
Beras Mentik,kg,11041,Desember,2018
Beras IR 64,kg,9721,Desember,2018
Gula Pasir Dalam Negri / kg,kg,10300,Desember,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11664,Desember,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26284,Desember,2018
Minyak Goreng Curah / kg (liter),kg,10466,Desember,2018
Daging Sapi Murni / kg,kg,107774,Desember,2018
Daging Ayam Broiler,kg,32270,Desember,2022
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11374,Januari,2020
Telur Ayam Ras (Petelur) / kg,kg,24000,Desember,2018
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11699,Februari,2020
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9939,Desember,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9726,Desember,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38390,Desember,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36362,Desember,2018
Jagung Pipilan Kering / kg,kg,6251,Desember,2018
Garam Beryodium Bata / buah,Buah,1077,Desember,2018
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11665,Maret,2020
Tepung Terigu / kg,kg,7931,Desember,2018
Kacang Kedelai Eks Impor / kg,kg,8467,Desember,2018
Kacang Kedelai Lokal,kg,8816,Desember,2018
Indomie Rasa Kari Ayam / bungkus,Bungkus,2307,Desember,2018
Cabe Merah Besar Keriting / kg,kg,23503,Desember,2018
Cabe Merah Besar,kg,23648,Desember,2018
